날짜,당기금액,전기금액,label,변동량,최종
20201016,"920,178,794-1,956,061,833","-21,129,201,437-20,087,264,846",1,0,0
20201016,"2,813,654,4941,261,135,426","920,178,794-1,956,061,833",0,0,1
20201016,"5,394,986,6704,424,259,963","2,813,654,4941,261,135,426",1,0,0
20201116,"1,016,229,276103,954,061","875,106,107875,349,735",0,1,0
20210323,"5,045,736,9211,524,606,401","5,394,986,6704,424,259,963",0,0,1
20160516,"10,949,664,52223,353,428,839","30,846,165,99135,250,703,652",0,1,0
20160816,"13,238,886,8963,156,672,238","21,369,372,59115,248,943,367",0,0,1
20161111,"13,625,904,3981,680,491,499","14,766,751,1341,244,072,646",0,0,1
20170331,"65,455,116,98338,171,457,140","78,764,757,71472,897,764,237",0,0,1
20170515,"54,485,548,39875,407,941,252","10,949,664,52223,353,428,839",1,0,0
20170814,"12,502,580,9528,588,196,398","13,238,886,8963,156,672,238",0,1,0
20171114,"39,901,788,492204,879,099,055","13,625,904,3981,680,491,499",1,1,1
20180330,"125,093,899,312217,553,834,744","65,455,116,98338,171,457,140",0,1,0
20180515,"14,649,452,55553,383,847,923","54,485,548,39875,407,941,252",0,1,0
20181204,"22,494,359,44644,313,624,457","12,502,580,9528,588,196,398",1,0,0
20181204,"7,384,215,276-6,551,789,644","39,901,788,492204,879,099,055",1,0,0
20190401,"15,888,859,20990,230,380,212","125,093,899,312217,553,834,744",1,0,0
20190515,"17,563,668,17821,204,147,088","14,649,452,55553,383,847,923",1,0,0
20190814,"30,992,493,98226,137,432,897","22,494,359,44644,313,624,457",1,0,0
20191114,"51,454,314,41066,150,160,983","7,384,215,276-6,551,789,644",0,1,0
20200330,"-341,924,578,348-259,705,692,892","15,888,859,20990,230,380,212",0,1,0
20200515,"79,899,414,48155,725,413,873","17,563,668,17821,204,147,088",1,0,0
20200814,"145,222,363,91334,118,857,947","30,992,493,98226,137,432,897",0,1,0
20201116,"143,728,038,53077,061,596,758","51,454,314,41066,150,160,983",0,0,1
20210318,"173,359,671,915-117,878,818,553","-341,924,578,348-259,705,692,892",1,1,1
20160516,"86,936,000,00040,918,000,000","111,685,000,00072,222,000,000",1,1,1
20160816,"167,777,000,00086,127,000,000","144,107,000,00064,180,000,000",1,0,0
20161114,"135,606,000,00071,277,000,000","163,024,000,00085,769,000,000",0,1,0
20170515,"43,905,000,00055,140,000,000","86,936,000,00040,918,000,000",0,0,1
