"날짜","종가","오픈","고가","저가","거래량","변동 %"
"2015년 12월 29일","1,254,000","1,265,000","1,266,000","1,241,000","231.87K","-0.95%"
"2015년 12월 28일","1,266,000","1,285,000","1,289,000","1,266,000","227.00K","-1.48%"
"2015년 12월 27일","1,285,000","1,285,000","1,285,000","1,285,000","0.02K","0.00%"
"2015년 12월 24일","1,285,000","1,295,000","1,300,000","1,285,000","151.44K","-0.77%"
"2015년 12월 23일","1,295,000","1,292,000","1,299,000","1,282,000","162.26K","0.23%"
"2015년 12월 22일","1,292,000","1,280,000","1,292,000","1,267,000","204.37K","0.94%"
"2015년 12월 21일","1,280,000","1,278,000","1,285,000","1,261,000","158.06K","0.16%"
"2015년 12월 20일","1,278,000","1,278,000","1,278,000","1,278,000","0.06K","0.00%"
"2015년 12월 18일","1,278,000","1,265,000","1,288,000","1,264,000","168.29K","-0.93%"
"2015년 12월 17일","1,290,000","1,301,000","1,308,000","1,275,000","167.42K","-0.69%"
"2015년 12월 16일","1,299,000","1,278,000","1,310,000","1,278,000","207.76K","1.72%"
"2015년 12월 15일","1,277,000","1,261,000","1,280,000","1,260,000","175.37K","1.27%"
"2015년 12월 14일","1,261,000","1,273,000","1,273,000","1,255,000","222.71K","-1.79%"
"2015년 12월 13일","1,284,000","1,284,000","1,284,000","1,284,000","-","0.00%"
"2015년 12월 11일","1,284,000","1,283,000","1,295,000","1,272,000","204.94K","0.08%"
"2015년 12월 10일","1,283,000","1,263,000","1,293,000","1,263,000","303.46K","1.58%"
"2015년 12월 09일","1,263,000","1,262,000","1,275,000","1,262,000","181.78K","0.08%"
"2015년 12월 08일","1,262,000","1,262,000","1,272,000","1,262,000","133.52K","0.00%"
"2015년 12월 07일","1,262,000","1,269,000","1,275,000","1,262,000","195.60K","-0.55%"
"2015년 12월 06일","1,269,000","1,269,000","1,269,000","1,269,000","-","0.00%"
"2015년 12월 04일","1,269,000","1,275,000","1,280,000","1,267,000","189.85K","-1.63%"
"2015년 12월 03일","1,290,000","1,295,000","1,297,000","1,286,000","166.59K","-0.77%"
