접수번호,계정명,당기명,당기일자,당기금액,전기명,전기일자,전기금액
20170515004197,당기순이익,제 50 기1분기,2017.01.01 ~ 2017.03.31,"967,374,000,000",제 49 기1분기,2016.01.01 ~ 2016.03.31,"1,939,846,000,000"
20170814002062,유동자산,제 50 기반기말,2017.06.30 현재,"71,920,404,000,000",제 49 기말,2016.12.31 현재,"72,449,600,000,000"
20170814002062,비유동자산,제 50 기반기말,2017.06.30 현재,"106,836,453,000,000",제 49 기말,2016.12.31 현재,"106,386,328,000,000"
20170814002062,자산총계,제 50 기반기말,2017.06.30 현재,"178,756,857,000,000",제 49 기말,2016.12.31 현재,"178,835,928,000,000"
20170814002062,유동부채,제 50 기반기말,2017.06.30 현재,"43,181,695,000,000",제 49 기말,2016.12.31 현재,"43,609,793,000,000"
20170814002062,비유동부채,제 50 기반기말,2017.06.30 현재,"61,897,149,000,000",제 49 기말,2016.12.31 현재,"62,881,557,000,000"
20170814002062,부채총계,제 50 기반기말,2017.06.30 현재,"105,078,844,000,000",제 49 기말,2016.12.31 현재,"106,491,350,000,000"
20170814002062,자본총계,제 50 기반기말,2017.06.30 현재,"73,678,013,000,000",제 49 기말,2016.12.31 현재,"72,344,578,000,000"
20170814002062,매출액,제 50 기반기,2017.01.01 ~ 2017.06.30,"24,308,002,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"24,676,726,000,000"
20170814002062,영업이익,제 50 기반기,2017.01.01 ~ 2017.06.30,"1,344,470,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"1,761,839,000,000"
20170814002062,법인세차감전 순이익,제 50 기반기,2017.01.01 ~ 2017.06.30,"1,164,970,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"2,381,587,000,000"
20170814002062,당기순이익,제 50 기반기,2017.01.01 ~ 2017.06.30,"913,626,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"1,763,922,000,000"
20170814002062,유동자산,제 50 기반기말,2017.06.30 현재,"24,509,450,000,000",제 49 기말,2016.12.31 현재,"24,175,403,000,000"
20170814002062,비유동자산,제 50 기반기말,2017.06.30 현재,"46,084,817,000,000",제 49 기말,2016.12.31 현재,"45,675,514,000,000"
20170814002062,자산총계,제 50 기반기말,2017.06.30 현재,"70,594,267,000,000",제 49 기말,2016.12.31 현재,"69,850,917,000,000"
20170814002062,유동부채,제 50 기반기말,2017.06.30 현재,"10,910,697,000,000",제 49 기말,2016.12.31 현재,"11,209,671,000,000"
20170814002062,비유동부채,제 50 기반기말,2017.06.30 현재,"5,941,100,000,000",제 49 기말,2016.12.31 현재,"6,061,535,000,000"
20170814002062,부채총계,제 50 기반기말,2017.06.30 현재,"16,851,797,000,000",제 49 기말,2016.12.31 현재,"17,271,206,000,000"
20170814002062,이익잉여금,제 50 기반기말,2017.06.30 현재,"49,236,467,000,000",제 49 기말,2016.12.31 현재,"48,405,444,000,000"
20170814002062,자본총계,제 50 기반기말,2017.06.30 현재,"53,742,470,000,000",제 49 기말,2016.12.31 현재,"52,579,711,000,000"
20170814002062,매출액,제 50 기반기,2017.01.01 ~ 2017.06.30,"11,726,321,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"11,542,128,000,000"
20170814002062,영업이익,제 50 기반기,2017.01.01 ~ 2017.06.30,"1,055,269,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"1,102,940,000,000"
20170814002062,법인세차감전 순이익,제 50 기반기,2017.01.01 ~ 2017.06.30,"868,433,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"1,708,001,000,000"
20170814002062,당기순이익,제 50 기반기,2017.01.01 ~ 2017.06.30,"674,500,000,000",제 49 기반기,2016.01.01 ~ 2016.06.30,"1,372,965,000,000"
20171114002108,유동자산,제 50 기3분기말,2017.09.30 현재,"73,923,707,000,000",제 49 기말,2016.12.31 현재,"72,449,600,000,000"
20171114002108,비유동자산,제 50 기3분기말,2017.09.30 현재,"107,564,125,000,000",제 49 기말,2016.12.31 현재,"106,386,328,000,000"
20171114002108,자산총계,제 50 기3분기말,2017.09.30 현재,"181,487,832,000,000",제 49 기말,2016.12.31 현재,"178,835,928,000,000"
20171114002108,유동부채,제 50 기3분기말,2017.09.30 현재,"42,208,381,000,000",제 49 기말,2016.12.31 현재,"43,609,793,000,000"
20171114002108,비유동부채,제 50 기3분기말,2017.09.30 현재,"64,681,086,000,000",제 49 기말,2016.12.31 현재,"62,881,557,000,000"
20171114002108,부채총계,제 50 기3분기말,2017.09.30 현재,"106,889,467,000,000",제 49 기말,2016.12.31 현재,"106,491,350,000,000"
20171114002108,자본금,제 50 기3분기말,2017.09.30 현재,"1,488,993,000,000",제 49 기말,2016.12.31 현재,"1,488,993,000,000"
20171114002108,이익잉여금,제 50 기3분기말,2017.09.30 현재,"66,274,468,000,000",제 49 기말,2016.12.31 현재,"64,361,408,000,000"
20171114002108,자본총계,제 50 기3분기말,2017.09.30 현재,"74,598,365,000,000",제 49 기말,2016.12.31 현재,"72,344,578,000,000"
20171114002108,매출액,제 50 기3분기,2017.01.01 ~ 2017.09.30,"24,201,273,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"22,083,670,000,000"
20171114002108,영업이익,제 50 기3분기,2017.01.01 ~ 2017.09.30,"1,204,207,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"1,068,104,000,000"
20171114002108,법인세차감전 순이익,제 50 기3분기,2017.01.01 ~ 2017.09.30,"1,100,395,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"1,494,666,000,000"
20171114002108,당기순이익,제 50 기3분기,2017.01.01 ~ 2017.09.30,"939,182,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"1,118,764,000,000"
20171114002108,유동자산,제 50 기3분기말,2017.09.30 현재,"23,090,731,000,000",제 49 기말,2016.12.31 현재,"24,175,403,000,000"
20171114002108,비유동자산,제 50 기3분기말,2017.09.30 현재,"46,713,524,000,000",제 49 기말,2016.12.31 현재,"45,675,514,000,000"
20171114002108,자산총계,제 50 기3분기말,2017.09.30 현재,"69,804,255,000,000",제 49 기말,2016.12.31 현재,"69,850,917,000,000"
20171114002108,유동부채,제 50 기3분기말,2017.09.30 현재,"9,514,322,000,000",제 49 기말,2016.12.31 현재,"11,209,671,000,000"
20171114002108,비유동부채,제 50 기3분기말,2017.09.30 현재,"5,947,138,000,000",제 49 기말,2016.12.31 현재,"6,061,535,000,000"
20171114002108,부채총계,제 50 기3분기말,2017.09.30 현재,"15,461,460,000,000",제 49 기말,2016.12.31 현재,"17,271,206,000,000"
20171114002108,자본금,제 50 기3분기말,2017.09.30 현재,"1,488,993,000,000",제 49 기말,2016.12.31 현재,"1,488,993,000,000"
20171114002108,이익잉여금,제 50 기3분기말,2017.09.30 현재,"49,952,254,000,000",제 49 기말,2016.12.31 현재,"48,405,444,000,000"
20171114002108,자본총계,제 50 기3분기말,2017.09.30 현재,"54,342,795,000,000",제 49 기말,2016.12.31 현재,"52,579,711,000,000"
20171114002108,매출액,제 50 기3분기,2017.01.01 ~ 2017.09.30,"9,742,388,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"7,996,646,000,000"
20171114002108,영업이익,제 50 기3분기,2017.01.01 ~ 2017.09.30,"341,581,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"23,867,000,000"
20171114002108,법인세차감전 순이익,제 50 기3분기,2017.01.01 ~ 2017.09.30,"1,056,770,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"208,598,000,000"
20171114002108,당기순이익,제 50 기3분기,2017.01.01 ~ 2017.09.30,"984,441,000,000",제 49 기3분기,2016.01.01 ~ 2016.09.30,"176,833,000,000"
20180402004162,유동자산,제 50 기,2017.12.31 현재,"73,975,914,000,000",제 49 기,2016.12.31 현재,"72,449,600,000,000"
