corp_code,corp_name,stock_code,modify_date
00148717,도레이케미칼,008000,20180810
00959265,디와이엘엔제이,207230,20180514
00447478,엔에스브이,095300,20180524
00163789,심팩메탈,090730,20180717
00838421,씨제이이앤엠,130960,20180718
01094565,이베스트기업인수목적3호,225440,20180528
00842327,완리인터내셔널홀딩스,900180,20180528
00156044,하림홀딩스,024660,20180716
00109170,대덕GDS,004130,20181219
00207223,위너지스,026260,20181012
00454265,스틸플라워,087220,20190213
01170962,GRT,900290,20181122
00348177,트레이스,052290,20181011
01111020,케이비제9호기업인수목적,232270,20181012
01117103,하이에이아이1호기업인수목적,235010,20181012
00264644,넥스콘테크놀러지,038990,20190227
00334244,덴소코리아,047060,20181113
00535719,프렉코,082220,20190226
00790121,차이나하오란리사이클링유한공사,900090,20190102
00960641,한국패러랠,168490,20190116
00569992,원익테라세미콘,123100,20190220
01328639,윙입푸드,900340,20181130
00925453,나무기술,167380,20181211
00263140,루트원플러스,046400,20190128
01130937,한국제4호기업인수목적,240540,20190129
00232496,씨그널엔터테인먼트그룹,099830,20190111
01088458,극동자동화,272420,20190212
00108047,세원화성,007910,20190226
00600013,맵스리얼티1,094800,20190405
00268181,에스피컴텍,039110,20190228
00609254,세왕,111610,20190329
01117495,에스와이제이,251540,20190402
00835734,피엠디아카데미,144740,20190523
01119217,본느,242420,20190521
00241236,씨엘인터내셔널,037340,20190508
00865382,트러스와이제7호위탁관리부동산투자회사,140890,20190507
00149877,중앙바이오텍,015170,20190510
00123514,보진재,030950,20190514
01139266,로스웰,900260,20190312
01168143,골든센츄리,900280,20190703
01018954,제이에스피브이,250300,20191210
01169434,오가닉티코스메틱,900300,20190923
00921475,자비스,230400,20191115
01199985,미래에셋대우기업인수목적1호,265480,20200103
00619020,세종머티리얼즈,135270,20191002
01179839,신한제3호기업인수목적,257730,20191001
01095397,줌인터넷,229480,20190610
01051339,한국비엔씨,226610,20191203
01113277,인프라웨어테크놀러지,247300,20191206
01197428,한화에이스기업인수목적3호,264290,20191206
00252755,씨앤케이인터내셔널,039530,20190718
01181940,아이엘사이언스,122050,20191227
00580180,포인트엔지니어링,176560,20190716
00473400,한컴지엠디,077280,20200116
00553025,데이터스트림즈,199150,20191210
00100717,아이이,023430,20191120
00261285,한국가스공사,036460,20200109
00503899,사조해표,079660,20190626
00133317,에스티씨라이프,026220,20190906
01201581,한화수성기업인수목적,265920,20200115
00200956,현대정보기술,026180,20190717
01111570,에스케이제3호기업인수목적,232330,20190830
01113781,영현무역,242850,20190827
01212383,엔케이맥스,262760,20190704
01194759,대신밸런스제4호기업인수목적,262830,20191010
01037542,바이옵트로,222160,20200225
00872850,비지스틸,179440,20200207
00147222,전방,000950,20200220
00527880,썬테크놀로지스,122800,20200212
00117638,동양텔레콤,007150,20200226
99999999,금감원(테스트),999980,20200129
00992871,종근당,185750,20200226
01063963,유쎌,252370,20200227
00656340,소프트캠프,210610,20200227
01194892,알로이스,271400,20200227
00222806,에임하이글로벌,043580,20200228
01234525,한국제5호기업인수목적,271740,20200303
00389679,해피드림,065180,20200228
00133858,세방전지,004490,20200319
00526465,동북아13호선박투자회사,083380,20200504
00324104,디케이씨,047440,20200228
00410678,다린,204690,20200228
00119672,두올,016740,20200414
00137809,신화실업,001770,20200414
00291152,디비엘,041500,20200508
00830447,수프로,185190,20200525
01067516,골프존,215000,20200513
00595243,엔스퍼트,098400,20200304
00106614,기신정기,092440,20200519
00107987,남해화학,025860,20200513
00378363,3S,060310,20200520
00930321,하이골드오션8호국제선박투자회사,159650,20200427
00268011,일레덱스홀딩스,033550,20200511
00104768,가온전선,000500,20200506
00599151,SV인베스트먼트,289080,20200526
00307037,더스텔라,065310,20200408
00695464,차이나그레이트스타인터내셔널리미티드,900040,20200522
00157104,대동전자,008110,20200525
01245062,코오롱티슈진,950160,20200325
00123152,보루네오가구,004740,20200228
00828497,한미약품,128940,20200302
01086812,케미메디,205290,20200526
00165361,휴코드,036840,20200313
00125576,체시스,033250,20200527
01060744,한솔제지,213500,20200507
00241209,모아텍,033200,20200528
00631518,SK이노베이션,096770,20200528
00961136,씨티네트웍스,189540,20200512
00893923,이푸른,185280,20200228
00838500,엘브이엠씨,900140,20200401
00938688,SBI핀테크솔루션즈,950110,20200401
00530796,미성포리테크,094700,20200228
00343127,자유투어,046840,20200228
00110875,대신정보통신,020180,20200514
00108241,농심,004370,20200511
00671437,파인넥스,123260,20200410
00159564,한국주강,025890,20201130
00362858,예스24,053280,20201130
00155638,피에스텍,002230,20201203
00441128,아리온,058220,20201203
00116408,동신건설,025950,20201203
01276026,지놈앤컴퍼니,314130,20210216
00878915,DGB금융지주,139130,20201118
00140858,영신금속,007530,20201126
00185505,제일바이오,052670,20201126
00133751,세명전기,017510,20201130
00109268,대동스틸,048470,20201130
00412348,엘비세미콘,061970,20201130
00238001,블루콤,033560,20201117
00814786,스카이이앤엠,131100,20201007
00133557,PN풍년,024940,20201124
00353878,다스코,058730,20201203
01137383,카카오게임즈,293490,20201207
00652159,코오롱머티리얼,144620,20201207
00149239,조일알미늄,018470,20201207
00107677,비비안,002070,20201208
00447928,네오티스,085910,20201208
00127158,씨아이테크,004920,20201208
00695969,동운아나텍,094170,20201208
00109824,대림통상,006570,20201208
00176914,다우기술,023590,20201208
00258801,카카오,035720,20201204
00295857,코다코,046070,20201204
00369657,리노공업,058470,20201204
00638487,파수,150900,20201210
00186717,태양,053620,20201210
00147772,정원엔시스,045510,20201210
00101752,케이씨피드,025880,20201210
00405320,웹젠,069080,20210215
00664048,우리넷,115440,20210217
01267967,마이크로디지탈,305090,20210217
00157070,한국단자공업,025540,20201130
00361488,텔코웨어,078000,20201130
00828789,대성산업,128820,20201130
00592653,유비벨록스,089850,20201130
00540429,휴림로봇,090710,20201202
00265041,KCI,036670,20201207
00181934,포스코플랜텍,051310,20210215
00121570,문배철강,008420,20201125
00350048,오성첨단소재,052420,20201125
00178851,동양에스텍,060380,20201201
00152783,코메론,049430,20201201
00112165,디아이씨,092200,20201209
00137012,에스앤더블류,103230,20201214
00759294,와이솔,122990,20201214
00217947,신세계건설,034300,20201210
00994994,나노,187790,20210216
00306870,손오공,066910,20210216
00147994,새로닉스,042600,20210217
00297934,피씨디렉트,051380,20210217
00125965,삼본전자,111870,20201211
01067808,넵튠,217270,20201211
00113492,깨끗한나라,004540,20201211
00185356,제룡전기,033100,20201211
00155452,풍국주정,023900,20201214
00242378,이지홀딩스,035810,20201214
01480568,이지바이오,353810,20201214
00192499,팜스토리,027710,20201214
00204208,마니커,027740,20201214
00418379,자연과환경,043910,20201214
00110431,JW신약,067290,20201214
00152686,코리아써키트,007810,20201214
00206686,케이피엠테크,042040,20201214
00954242,하이골드12호,172580,20201214
00113526,대한항공,003490,20201214
00818472,이큐셀,160600,20210125
01095704,케이엠제약,225430,20210126
01398151,교보9호스팩,331520,20210126
00523176,네추럴FNP,086220,20210217
01063990,로보로보,215100,20210217
00367604,SM Life Design,063440,20201216
00231372,롯데관광개발,032350,20201216
00124151,부산주공,005030,20201217
00151298,DSR제강,069730,20210215
01476219,교보10호기업인수목적,355150,20210126
01414422,아이비김영,339950,20210217
01035942,메디안디노스틱,233250,20210215
00191287,대동금속,020400,20201110
01437292,미래에셋맵스리츠,357250,20210127
00257732,한국정밀기계,101680,20210128
01153105,비비씨,318410,20210217
00799177,삼기,122350,20210217
01116380,씨앤에스링크,245450,20210217
00158963,유나이티드,033270,20210215
00102681,고려개발,004200,20200721
